Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Week 1 - Kickstart Test Automation/Reserve A Medical Appointment,Edge Chromium 137.0.3296.93,,,24-06-2025 15:38:21,24-06-2025 15:38:39,17.682s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Login""), [""UserName"":findTestData(""Valid User Credentials"").getValue(""UserName"", 1), ""Password"":findTestData(""Valid User Credentials"").getValue(""Password"", 1)], STOP_ON_FAILURE)",Edge Chromium 137.0.3296.93,,,24-06-2025 15:38:21,24-06-2025 15:38:30,8.779s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Make Appointment""), [:], STOP_ON_FAILURE)",Edge Chromium 137.0.3296.93,,,24-06-2025 15:38:30,24-06-2025 15:38:35,4.848s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Logout""), [:], STOP_ON_FAILURE)",Edge Chromium 137.0.3296.93,,,24-06-2025 15:38:35,24-06-2025 15:38:37,1.936s,PASSED
,,,,,,,
Test Cases/Week 2 - Keyword Driven Test/Make An Appointment - Manually,Edge Chromium 137.0.3296.93,,,24-06-2025 15:38:39,24-06-2025 15:39:07,28.780s,PASSED
"Auth.Login(G_Cura_UserName, G_Cura_Password)",Edge Chromium 137.0.3296.93,,,24-06-2025 15:38:39,24-06-2025 15:38:47,7.867s,PASSED
for (def n : (0..2)),Edge Chromium 137.0.3296.93,,,24-06-2025 15:38:47,24-06-2025 15:39:04,17.299s,PASSED
closeBrowser(),Edge Chromium 137.0.3296.93,,,24-06-2025 15:39:04,24-06-2025 15:39:05,1.321s,PASSED
"Completed.Congrats(""Tester"")",Edge Chromium 137.0.3296.93,,,24-06-2025 15:39:05,24-06-2025 15:39:05,0.013s,PASSED
